Breed,Animal Type,Average Lifespan (years),Size Category,Common Color,Temperament,Suitable for Apartment,Grooming Needs,Trainability
Guinea Pig,Small Animal,9,Small,White,Energetic,Yes,Medium,Difficult
Macaw,Bird,20,Medium,White,Aggressive,Yes,Low,Moderate
Golden Retriever,Dog,16,Medium,Gray,Friendly,Yes,Medium,Difficult
Golden Retriever,Dog,15,Large,Golden,Calm,No,High,Moderate
Cockatiel,Bird,7,Medium,Brown,Energetic,No,High,Easy
Persian Cat,Cat,12,Medium,Gray,Playful,Yes,Low,Moderate
Persian Cat,Cat,9,Medium,White,Friendly,Yes,Medium,Moderate
Persian Cat,Cat,11,Small,Golden,Calm,Yes,Low,Moderate
Persian Cat,Cat,6,Small,Brown,Loyal,No,Low,Easy
Macaw,Bird,16,Small,Mixed,Playful,No,High,Easy
Siamese Cat,Cat,9,Medium,Gray,Energetic,Yes,Low,Moderate
Guinea Pig,Small Animal,18,Small,Black,Loyal,Yes,Medium,Difficult
Guinea Pig,Small Animal,11,Small,Gray,Aggressive,No,Medium,Easy
Rabbit,Small Animal,8,Small,White,Energetic,No,Medium,Easy
Hamster,Small Animal,8,Small,Gray,Playful,No,Low,Difficult
Maine Coon,Cat,14,Medium,Gray,Aggressive,No,High,Easy
Labrador Retriever,Dog,16,Small,Gray,Loyal,Yes,Low,Easy
Golden Retriever,Dog,17,Medium,Brown,Loyal,No,Medium,Difficult
Guinea Pig,Small Animal,16,Small,Black,Playful,No,Medium,Difficult
Labrador Retriever,Dog,9,Large,Brown,Playful,No,High,Moderate
Guinea Pig,Small Animal,20,Small,Mixed,Aggressive,No,High,Difficult
Hamster,Small Animal,6,Small,Black,Loyal,No,Medium,Moderate
Persian Cat,Cat,18,Small,Brown,Loyal,Yes,High,Moderate
Persian Cat,Cat,5,Small,Black,Friendly,No,Low,Moderate
Maine Coon,Cat,14,Small,Black,Loyal,No,Medium,Easy
Labrador Retriever,Dog,13,Medium,Golden,Loyal,No,Low,Moderate
Golden Retriever,Dog,18,Small,Mixed,Energetic,No,Low,Easy
Golden Retriever,Dog,13,Large,Mixed,Energetic,Yes,High,Easy
Guinea Pig,Small Animal,13,Small,Golden,Energetic,No,High,Moderate
Maine Coon,Cat,19,Medium,White,Aggressive,Yes,High,Easy
Golden Retriever,Dog,14,Medium,Golden,Playful,Yes,High,Difficult
Labrador Retriever,Dog,8,Small,White,Playful,Yes,Low,Easy
Rabbit,Small Animal,11,Small,Mixed,Friendly,No,Low,Easy
Siamese Cat,Cat,9,Medium,Black,Energetic,Yes,Low,Easy
Siamese Cat,Cat,20,Medium,Mixed,Calm,No,Medium,Moderate
Golden Retriever,Dog,18,Medium,Mixed,Calm,Yes,Medium,Moderate
Cockatiel,Bird,7,Small,Gray,Playful,Yes,Medium,Moderate
Maine Coon,Cat,11,Small,Black,Aggressive,Yes,High,Easy
Guinea Pig,Small Animal,5,Small,White,Energetic,Yes,High,Easy
Maine Coon,Cat,20,Small,Golden,Energetic,Yes,Medium,Moderate
Hamster,Small Animal,19,Small,Black,Friendly,Yes,High,Difficult
Persian Cat,Cat,17,Medium,Brown,Energetic,No,Low,Difficult
Siamese Cat,Cat,13,Medium,Black,Calm,No,High,Moderate
Golden Retriever,Dog,11,Small,Mixed,Energetic,No,Medium,Difficult
Golden Retriever,Dog,6,Medium,Golden,Playful,Yes,Low,Moderate
Cockatiel,Bird,19,Small,White,Calm,No,Low,Difficult
Parrot,Bird,7,Small,Gray,Playful,No,Low,Easy
Maine Coon,Cat,13,Small,Black,Calm,No,Low,Difficult
German Shepherd,Dog,5,Large,Brown,Loyal,Yes,Medium,Easy
German Shepherd,Dog,13,Small,Gray,Playful,Yes,High,Easy
Rabbit,Small Animal,5,Small,Mixed,Aggressive,Yes,High,Difficult
Siamese Cat,Cat,6,Small,Brown,Loyal,No,High,Moderate
Macaw,Bird,12,Medium,Brown,Aggressive,No,High,Difficult
Macaw,Bird,17,Small,Black,Playful,No,Low,Difficult
Maine Coon,Cat,6,Medium,Mixed,Loyal,Yes,Low,Easy
Parrot,Bird,11,Small,Black,Aggressive,Yes,High,Easy
Siamese Cat,Cat,13,Small,Mixed,Energetic,Yes,Medium,Moderate
Persian Cat,Cat,19,Small,Golden,Calm,Yes,Medium,Difficult
Rabbit,Small Animal,16,Small,White,Calm,Yes,Medium,Easy
Rabbit,Small Animal,20,Small,Gray,Energetic,Yes,High,Easy
Parrot,Bird,5,Medium,Black,Loyal,No,High,Moderate
German Shepherd,Dog,11,Medium,White,Friendly,No,Low,Difficult
Labrador Retriever,Dog,5,Large,Black,Energetic,Yes,Medium,Moderate
Guinea Pig,Small Animal,6,Small,Gray,Playful,Yes,High,Moderate
Cockatiel,Bird,13,Medium,Gray,Energetic,No,Medium,Difficult
Labrador Retriever,Dog,17,Small,Mixed,Calm,No,High,Difficult
German Shepherd,Dog,11,Large,Gray,Aggressive,Yes,Medium,Easy
Guinea Pig,Small Animal,12,Small,Golden,Playful,No,High,Easy
Rabbit,Small Animal,18,Small,Mixed,Aggressive,Yes,High,Moderate
Siamese Cat,Cat,10,Small,Gray,Energetic,Yes,Medium,Moderate
German Shepherd,Dog,10,Medium,Golden,Playful,Yes,Medium,Easy
Rabbit,Small Animal,20,Small,Mixed,Aggressive,No,High,Difficult
Cockatiel,Bird,16,Small,White,Aggressive,No,Low,Difficult
Maine Coon,Cat,8,Small,Black,Energetic,Yes,Low,Easy
Labrador Retriever,Dog,5,Medium,Golden,Loyal,No,Low,Easy
Golden Retriever,Dog,9,Large,Gray,Aggressive,Yes,Low,Moderate
Parrot,Bird,18,Small,Black,Friendly,Yes,Low,Easy
Labrador Retriever,Dog,10,Medium,Black,Calm,No,Low,Moderate
Labrador Retriever,Dog,14,Small,Golden,Calm,No,Medium,Moderate
Maine Coon,Cat,15,Small,Golden,Calm,Yes,High,Moderate
Guinea Pig,Small Animal,9,Small,Brown,Playful,Yes,Low,Easy
German Shepherd,Dog,15,Large,White,Energetic,No,Medium,Easy
Guinea Pig,Small Animal,15,Small,Black,Friendly,No,Medium,Moderate
Parrot,Bird,19,Medium,White,Calm,Yes,Medium,Moderate
Siamese Cat,Cat,6,Small,Gray,Loyal,Yes,High,Easy
Persian Cat,Cat,12,Medium,White,Energetic,Yes,Low,Difficult
Persian Cat,Cat,15,Medium,Black,Loyal,Yes,Medium,Difficult
German Shepherd,Dog,15,Medium,Brown,Loyal,No,High,Difficult
Siamese Cat,Cat,6,Medium,White,Friendly,Yes,High,Difficult
Parrot,Bird,17,Small,Black,Friendly,No,Medium,Moderate
Guinea Pig,Small Animal,17,Small,Mixed,Friendly,No,Low,Difficult
Parrot,Bird,11,Medium,Gray,Calm,Yes,Medium,Difficult
Persian Cat,Cat,20,Small,Golden,Playful,No,Low,Easy
Persian Cat,Cat,19,Small,Mixed,Calm,No,Low,Easy
German Shepherd,Dog,10,Medium,Golden,Loyal,Yes,Medium,Moderate
Rabbit,Small Animal,15,Small,White,Energetic,No,Low,Easy
Macaw,Bird,9,Small,White,Calm,No,Low,Moderate
Maine Coon,Cat,19,Small,White,Calm,Yes,Low,Moderate
Rabbit,Small Animal,15,Small,Black,Calm,No,Medium,Moderate
Parrot,Bird,6,Medium,Mixed,Calm,No,High,Difficult
Cockatiel,Bird,14,Small,Mixed,Friendly,Yes,High,Easy
Hamster,Small Animal,17,Small,Golden,Energetic,Yes,High,Easy
Parrot,Bird,14,Medium,Golden,Calm,Yes,Medium,Easy
Siamese Cat,Cat,9,Medium,Brown,Energetic,Yes,Low,Difficult
Siamese Cat,Cat,11,Medium,White,Loyal,Yes,Low,Difficult
Cockatiel,Bird,6,Small,White,Energetic,No,High,Easy
Parrot,Bird,15,Small,Mixed,Friendly,No,Medium,Easy
Persian Cat,Cat,11,Small,Gray,Playful,Yes,Low,Easy
Rabbit,Small Animal,17,Small,Gray,Loyal,Yes,Medium,Easy
Golden Retriever,Dog,7,Large,Mixed,Loyal,No,High,Easy
Siamese Cat,Cat,18,Medium,White,Aggressive,Yes,High,Moderate
Maine Coon,Cat,14,Small,Mixed,Loyal,No,High,Easy
